,李世石,古力,谢赫,李昌镐,孔杰,常昊,朴永训,胡耀宇,张栩,崔哲瀚,姜东润,周睿羊,王檄,陈耀烨,赵汉乘,朴文垚,元晟溱,李喆,江维杰,王磊,邱峻,李映九,睦镇硕,白洪淅,尹峻相,高尾绅路,周鹤洋,安祚永,刘星,柁嘉熹,罗洗河,彭立尧,Others
李世石,0,2,2,2,4,6,8,4,6,4,4,2,2,2,8,0,0,0,0,2,0,6,8,2,6,0,0,0,2,0,0,0,33
古力,0,0,0,0,2,6,2,0,0,0,2,6,0,2,4,0,0,2,0,0,6,2,0,0,0,0,0,0,0,2,2,0,19
谢赫,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,24
李昌镐,2,2,0,0,2,2,2,2,4,8,4,0,0,0,8,0,0,0,0,0,0,4,4,0,8,2,0,2,0,0,0,0,18
孔杰,0,6,2,0,0,0,2,0,0,0,0,4,4,2,0,2,0,6,0,2,0,2,0,0,0,0,2,0,0,2,2,0,23
常昊,0,0,2,4,4,0,0,0,0,0,0,0,0,2,4,0,0,4,0,4,0,0,2,0,0,0,2,0,0,0,4,0,17
朴永训,8,4,0,4,0,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,2,4,0,0,0,0,23
胡耀宇,0,0,2,2,2,4,0,0,0,0,0,0,4,4,2,2,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,21
张栩,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,16,0,0,0,0,0,0,38
崔哲瀚,4,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,13
姜东润,2,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,6,0,0,0,4,0,0,0,0,21
周睿羊,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,34
王檄,2,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,13
陈耀烨,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,25
赵汉乘,2,0,0,8,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,6,4,0,0,0,0,2,0,0,0,0,25
朴文垚,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,0,0,0,0,0,4,0,2,2,2,0,23
元晟溱,4,0,0,2,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,18
李喆,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,17
江维杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
王磊,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20
邱峻,0,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
李映九,4,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,17
睦镇硕,2,0,0,2,0,0,0,2,0,4,0,0,0,0,4,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,26
白洪淅,2,0,0,0,0,0,4,0,0,4,2,0,0,0,2,0,4,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,16
尹峻相,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,17
高尾绅路,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
周鹤洋,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16
安祚永,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11
刘星,0,2,2,0,4,2,0,2,2,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15
柁嘉熹,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,21
罗洗河,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
彭立尧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
Others,4,8,5,8,9,2,9,11,14,10,4,12,10,5,6,5,7,10,2,6,9,6,9,8,7,9,7,2,10,10,6,4,0
