Player: 李世石, Date: 2008-12-26, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2008-12-23, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2008-12-22, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2008-12-17, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 黄奕中
Player: 李世石, Date: 2008-12-15, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 黄奕中
Player: 李世石, Date: 2008-12-13, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 李世石, Date: 2008-12-10, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 睦镇硕
Player: 李世石, Date: 2008-12-08, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2008-12-06, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 裴俊熙
Player: 李世石, Date: 2008-12-05, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2008-12-04, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 李世石, Date: 2008-12-02, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2008-12-01, Rating: 3581, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2008-11-30, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2008-11-24, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2008-11-23, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 李世石, Date: 2008-11-22, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 尹峻相
Player: 李世石, Date: 2008-11-19, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2008-11-15, Rating: 3580, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2008-11-13, Rating: 3580, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2008-11-11, Rating: 3580, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2008-11-10, Rating: 3580, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2008-11-07, Rating: 3580, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李世石, Date: 2008-11-05, Rating: 3579, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2008-11-03, Rating: 3579, Black and White: 执白, Result: 胜, Opponent: 河野临
Player: 李世石, Date: 2008-10-30, Rating: 3579, Black and White: 执黑, Result: 胜, Opponent: 尹灿熙
Player: 李世石, Date: 2008-10-29, Rating: 3579, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李世石, Date: 2008-10-28, Rating: 3579, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李世石, Date: 2008-10-26, Rating: 3578, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2008-10-24, Rating: 3578, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李世石, Date: 2008-10-22, Rating: 3578, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2008-10-20, Rating: 3578, Black and White: 执白, Result: 负, Opponent: 朴正祥
Player: 李世石, Date: 2008-10-17, Rating: 3577, Black and White: 执白, Result: 胜, Opponent: 河野临
Player: 李世石, Date: 2008-10-17, Rating: 3577, Black and White: 执黑, Result: 负, Opponent: 丁伟
Player: 李世石, Date: 2008-10-09, Rating: 3577, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2008-10-02, Rating: 3576, Black and White: 执黑, Result: 负, Opponent: 李元道
Player: 李世石, Date: 2008-09-30, Rating: 3576, Black and White: 执白, Result: 负, Opponent: 崔明勋
Player: 李世石, Date: 2008-09-25, Rating: 3575, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2008-09-23, Rating: 3575, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2008-09-18, Rating: 3575, Black and White: 执黑, Result: 负, Opponent: 金志锡
