,李世石,古力,李昌镐,孔杰,姜东润,谢赫,常昊,朴永训,张栩,元晟溱,陈耀烨,周睿羊,朴文垚,李喆,赵汉乘,崔哲瀚,胡耀宇,王檄,江维杰,邱峻,刘星,周鹤洋,李映九,井山裕太,睦镇硕,许映皓,朴廷桓,姜儒泽,柁嘉熹,时越,尹峻相,彭立尧,Others
李世石,0,2,2,4,10,2,4,6,2,2,0,2,0,2,8,4,2,0,0,0,2,2,0,2,8,0,2,0,2,2,4,0,38
古力,2,0,4,8,0,4,10,2,2,4,0,4,6,0,2,0,2,0,0,4,6,8,2,0,2,0,0,0,0,2,0,2,26
李昌镐,8,2,0,4,2,4,0,0,0,2,2,0,0,0,6,0,0,0,0,0,2,0,2,0,14,0,0,0,0,0,2,0,26
孔杰,0,2,0,0,0,2,0,2,0,2,2,8,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,26
姜东润,4,2,8,0,0,0,0,4,0,6,0,0,2,2,2,6,0,0,0,2,0,0,2,2,6,0,0,2,2,0,0,0,16
谢赫,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,6,0,2,0,0,2,0,0,0,0,2,0,0,0,0,32
常昊,0,0,2,2,0,0,0,4,0,0,0,2,6,4,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,25
朴永训,2,0,0,0,2,0,2,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,22
张栩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,48
元晟溱,2,4,4,0,2,0,2,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,18
陈耀烨,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,2,0,0,4,0,0,0,0,0,0,0,2,0,0,15
周睿羊,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,2,0,0,2,4,0,2,0,0,0,0,0,4,0,2,0,19
朴文垚,0,4,2,2,2,2,4,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,26
李喆,0,2,0,6,0,0,0,0,0,0,2,2,4,0,0,0,0,2,0,0,2,2,0,0,2,0,2,0,2,0,0,0,19
赵汉乘,0,0,4,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,18
崔哲瀚,2,2,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,2,0,4,2,2,0,0,0,0,0,15
胡耀宇,0,2,0,2,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,13
王檄,0,0,0,2,0,0,4,0,0,0,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25
江维杰,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12
邱峻,0,6,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,4,2,0,4,0,0,0,0,0,0,0,0,0,0,2,13
刘星,0,2,0,8,0,0,4,2,0,0,0,2,2,0,2,0,0,2,0,4,0,4,2,0,0,0,0,0,0,0,0,0,17
周鹤洋,0,2,0,0,0,6,0,0,0,0,0,2,2,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,2,2,0,2,16
李映九,0,0,0,2,2,0,2,2,0,0,4,0,2,0,6,0,6,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,15
井山裕太,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
睦镇硕,2,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,4,2,0,0,2,0,25
许映皓,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10
朴廷桓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
姜儒泽,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
柁嘉熹,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,18
时越,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,2,4,0,0,0,0,0,0,0,2,0,0,0,20
尹峻相,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9
彭立尧,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,10
Others,12,4,5,5,7,8,7,7,11,5,8,7,9,7,3,3,9,6,4,9,10,5,6,11,5,4,8,4,13,8,4,6,0
