,李世石,孔杰,崔哲瀚,古力,李昌镐,陈耀烨,朴廷桓,姜东润,李喆,柁嘉熹,范廷钰,谢赫,王檄,朴永训,金志锡,周睿羊,赵汉乘,江维杰,邱峻,元晟溱,古灵益,时越,许映皓,芈昱廷,井山裕太,朴文垚,张栩,姜儒泽,彭立尧,李映九,胡耀宇,周鹤洋,Others
李世石,0,4,0,2,6,0,2,10,0,0,0,0,4,2,4,0,0,0,0,2,2,0,2,0,2,2,0,2,0,0,0,0,36
孔杰,6,0,2,0,8,0,0,0,2,2,0,2,2,0,2,0,0,0,2,0,2,2,0,0,0,4,0,0,0,2,2,0,23
崔哲瀚,2,0,0,0,0,0,2,4,0,0,0,0,0,2,6,4,0,2,0,4,0,2,2,0,0,0,0,0,0,0,2,0,29
古力,4,2,2,0,2,4,2,0,2,2,0,0,2,0,4,2,0,6,0,0,6,2,4,0,2,2,0,0,0,2,2,0,22
李昌镐,4,0,6,6,0,0,2,8,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26
陈耀烨,0,0,0,8,0,0,4,0,0,0,0,2,4,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,17
朴廷桓,2,0,4,0,6,6,0,0,0,2,0,4,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,17
姜东润,4,0,6,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,14
李喆,0,0,0,2,0,4,0,0,0,0,2,0,0,0,2,4,0,2,2,0,2,0,0,0,0,2,0,0,0,0,2,0,20
柁嘉熹,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,8,0,0,4,0,0,2,2,0,0,0,0,0,2,0,0,0,20
范廷钰,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
谢赫,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,4,0,2,2,0,2,4,2,0,4,0,0,0,2,0,2,4,23
王檄,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,0,0,0,4,0,0,2,0,0,2,18
朴永训,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,23
金志锡,2,2,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,18
周睿羊,0,4,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,2,0,0,2,23
赵汉乘,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
江维杰,0,6,0,6,0,2,0,0,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,10
邱峻,0,0,0,0,2,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,18
元晟溱,0,0,2,0,2,0,0,6,0,0,0,0,0,8,2,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13
古灵益,0,0,0,6,2,0,0,0,0,0,0,4,6,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,17
时越,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,22
许映皓,0,2,0,4,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,20
芈昱廷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井山裕太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,39
朴文垚,0,0,2,0,0,4,0,0,0,0,0,2,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22
张栩,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37
姜儒泽,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7
彭立尧,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
李映九,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13
胡耀宇,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,12
Others,3,9,5,14,9,9,4,5,5,8,6,10,8,7,5,4,1,9,6,4,13,8,2,4,14,13,14,4,8,3,7,11,0
