,朴廷桓,李世石,时越,崔哲瀚,范廷钰,陈耀烨,金志锡,古力,檀啸,姜东润,井山裕太,周睿羊,柁嘉熹,芈昱廷,谢赫,王檄,赵汉乘,江维杰,元晟溱,朴文垚,彭立尧,邱峻,朴永训,连笑,唐韦星,白洪淅,孔杰,周贺玺,柯洁,李映九,李昌镐,杨鼎新,Others
朴廷桓,0,0,2,4,2,4,0,2,4,2,0,0,2,2,2,0,0,4,6,2,0,2,4,0,0,6,2,2,0,4,6,0,47
李世石,4,0,2,12,0,2,4,4,0,0,0,0,0,0,0,0,2,0,4,2,0,2,8,0,0,10,4,0,0,0,4,0,29
时越,4,2,0,4,2,0,0,4,2,2,0,0,2,0,4,4,2,0,2,4,0,4,2,2,0,0,6,2,2,0,0,0,19
崔哲瀚,2,6,0,0,6,2,2,4,2,8,0,0,2,4,2,2,4,0,6,0,2,2,0,0,0,0,0,2,0,4,2,0,29
范廷钰,2,2,2,0,0,0,4,0,8,0,0,2,2,0,4,2,0,0,0,0,2,0,0,0,0,0,4,0,4,2,0,0,26
陈耀烨,6,0,4,6,0,0,0,2,2,2,0,0,6,0,0,0,4,8,4,4,0,0,0,4,4,2,0,6,0,0,0,0,20
金志锡,2,4,0,0,0,0,0,6,0,8,0,0,0,0,0,0,6,2,0,2,0,0,2,0,2,2,2,0,0,0,0,0,30
古力,4,6,4,2,4,2,0,0,2,2,0,2,0,0,2,2,0,2,2,2,0,0,0,2,0,0,2,2,0,0,0,0,16
檀啸,2,0,2,2,0,2,0,2,0,0,0,2,0,0,2,4,4,6,4,0,0,2,0,0,2,0,4,0,0,0,0,0,26
姜东润,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,4,2,2,2,0,2,0,0,2,0,0,0,0,2,2,25
井山裕太,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
周睿羊,2,0,0,0,0,2,0,0,0,0,0,0,2,2,4,0,0,0,0,2,0,2,0,4,0,0,4,2,0,0,0,0,30
柁嘉熹,0,0,2,0,0,4,0,2,2,0,0,0,0,0,2,2,0,2,0,0,4,2,0,2,2,0,2,0,0,0,0,0,36
芈昱廷,2,0,2,0,0,0,0,4,0,0,0,2,2,0,4,0,0,4,0,2,0,0,0,0,2,0,0,2,0,0,2,0,21
谢赫,2,0,0,0,2,4,2,4,0,0,0,2,4,2,0,0,0,2,2,0,2,2,0,0,0,0,2,0,0,0,2,0,18
王檄,0,0,2,0,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,6,0,2,0,0,2,0,0,4,0,0,0,0,23
赵汉乘,2,0,0,6,2,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,23
江维杰,0,2,2,0,0,2,0,0,0,2,0,4,0,2,0,0,0,0,2,0,0,0,2,0,4,0,0,2,0,2,4,2,22
元晟溱,0,2,0,4,6,2,0,0,4,2,0,0,4,2,0,0,0,0,0,0,2,0,6,2,0,2,0,0,0,2,0,0,17
朴文垚,0,0,0,2,2,2,2,6,4,0,0,4,2,4,2,0,0,2,2,0,2,0,0,0,0,0,2,0,2,0,0,2,16
彭立尧,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,2,0,4,2,0,0,0,0,4,0,0,0,2,2,0,0,2,28
邱峻,0,0,0,0,2,0,2,0,4,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14
朴永训,2,4,0,2,0,0,2,0,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22
连笑,4,0,2,0,0,2,0,0,2,0,0,0,0,2,2,0,4,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,23
唐韦星,0,0,6,0,0,2,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24
白洪淅,0,6,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0,35
孔杰,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,4,0,0,0,0,2,0,2,0,0,0,0,23
周贺玺,0,0,0,0,2,2,2,0,4,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,0,2,0,0,2,0,2,18
柯洁,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
李映九,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,27
李昌镐,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,18
杨鼎新,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,14
Others,9,6,5,11,9,7,10,6,8,6,12,8,8,9,11,8,9,9,10,8,5,9,12,7,12,13,12,8,3,15,7,11,0
