,朴廷桓,时越,柯洁,金志锡,李世石,芈昱廷,陈耀烨,周睿羊,连笑,柁嘉熹,古力,崔哲瀚,范廷钰,唐韦星,檀啸,井山裕太,江维杰,王檄,杨鼎新,姜东润,朴永训,邱峻,李钦诚,彭立尧,元晟溱,黄云嵩,谢尔豪,古灵益,辜梓豪,范蕴若,童梦成,罗玄,Others
朴廷桓,0,4,0,6,2,0,10,6,0,0,0,4,0,6,8,0,0,2,0,2,8,0,0,0,0,0,0,2,0,0,0,4,43
时越,4,0,2,0,2,4,2,0,0,0,4,4,4,2,4,0,6,0,2,0,0,2,0,0,0,0,2,2,0,4,2,0,23
柯洁,4,2,0,0,0,0,4,4,4,0,4,2,2,4,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4,0,2,32
金志锡,4,6,0,0,0,2,2,4,0,4,0,10,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,2,28
李世石,8,4,0,0,0,2,0,0,0,2,12,0,0,0,0,2,2,0,4,4,2,2,0,0,2,0,0,0,0,0,0,2,33
芈昱廷,0,0,0,0,0,0,2,4,0,4,0,4,0,2,0,0,0,4,0,0,0,2,0,6,0,2,0,4,0,0,4,2,24
陈耀烨,4,2,4,2,2,0,0,0,4,0,0,0,4,0,2,0,0,0,4,0,0,4,2,0,0,0,0,6,0,0,2,0,14
周睿羊,0,2,0,0,0,0,6,0,6,6,2,0,0,2,0,2,0,0,2,0,0,0,2,2,0,0,4,2,0,2,0,2,20
连笑,0,0,2,0,0,4,0,6,0,0,2,0,0,0,0,0,4,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,21
柁嘉熹,0,2,0,0,4,2,2,4,0,0,0,2,4,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,4,2,0,24
古力,0,2,0,2,8,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,21
崔哲瀚,2,2,0,0,2,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25
范廷钰,0,4,2,2,2,2,0,2,0,0,0,0,0,4,0,0,0,4,0,2,0,2,2,2,0,2,0,0,0,2,0,0,15
唐韦星,4,0,2,0,0,2,0,0,0,2,0,6,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,21
檀啸,0,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,2,2,0,4,2,12
井山裕太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
江维杰,2,0,2,2,2,2,2,0,2,2,2,2,2,2,6,0,0,0,4,0,0,4,0,4,0,0,0,0,0,2,0,0,20
王檄,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,10
杨鼎新,2,4,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,20
姜东润,0,0,0,2,2,0,0,0,2,2,0,4,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,21
朴永训,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,19
邱峻,0,2,2,2,0,2,4,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,18
李钦诚,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
彭立尧,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,13
元晟溱,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
黄云嵩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
谢尔豪,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
古灵益,0,0,0,0,0,0,0,0,0,2,0,2,6,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,12
辜梓豪,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
范蕴若,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,2,0,0,0,21
童梦成,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,2,14
罗玄,2,0,4,0,4,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Others,5,8,4,9,12,7,7,11,15,7,7,10,9,12,4,20,7,13,6,9,13,8,11,6,1,12,14,6,3,12,8,16,0
