Player: 柯洁, Date: 2015-12-31, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 柯洁, Date: 2015-12-30, Rating: 3691, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 柯洁, Date: 2015-12-19, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 郑弘
Player: 柯洁, Date: 2015-12-18, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2015-12-18, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 柯洁, Date: 2015-12-17, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 阿特姆
Player: 柯洁, Date: 2015-12-17, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 陈乃申
Player: 柯洁, Date: 2015-12-09, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2015-12-08, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 柯洁, Date: 2015-12-06, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 胡耀宇
Player: 柯洁, Date: 2015-12-04, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 连笑
Player: 柯洁, Date: 2015-12-01, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 李东勋
Player: 柯洁, Date: 2015-11-30, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 黄云嵩
Player: 柯洁, Date: 2015-11-29, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 林君谚
Player: 柯洁, Date: 2015-11-28, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 柯洁, Date: 2015-11-25, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 柯洁, Date: 2015-11-24, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 柯洁, Date: 2015-11-22, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 柯洁, Date: 2015-11-16, Rating: 3691, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 柯洁, Date: 2015-11-13, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 柯洁, Date: 2015-11-04, Rating: 3691, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 柯洁, Date: 2015-11-03, Rating: 3691, Black and White: 执白, Result: 胜, Opponent: 李世石
