,柯洁,朴廷桓,时越,李世石,金志锡,芈昱廷,柁嘉熹,陈耀烨,连笑,周睿羊,江维杰,井山裕太,姜东润,檀啸,李钦诚,唐韦星,范廷钰,朴永训,王檄,古力,崔哲瀚,辜梓豪,杨鼎新,黄云嵩,李东勋,邱峻,彭立尧,申真谞,范蕴若,童梦成,罗玄,元晟溱,Others
柯洁,0,2,8,8,2,4,4,0,4,4,0,2,2,4,0,2,2,4,2,8,2,0,0,4,2,4,2,0,2,0,4,0,32
朴廷桓,0,0,4,2,4,4,2,2,0,2,2,0,2,4,0,0,2,0,0,0,0,0,2,0,4,0,0,2,0,0,2,0,38
时越,4,0,0,2,6,2,0,4,0,0,2,0,0,0,0,6,0,2,0,8,0,2,0,2,0,2,0,0,0,0,0,0,22
李世石,2,2,2,0,0,2,0,0,2,0,2,0,0,2,0,2,0,4,0,0,0,0,2,0,6,2,0,2,0,0,0,0,33
金志锡,2,2,4,2,0,0,0,0,0,0,2,2,2,2,0,2,0,0,2,2,2,0,0,2,0,2,0,2,2,0,0,2,25
芈昱廷,0,0,0,0,0,0,2,0,2,4,2,0,0,2,2,2,0,0,0,0,4,2,0,0,2,2,0,0,4,0,0,0,17
柁嘉熹,0,0,4,4,4,2,0,0,0,0,4,0,0,8,2,0,2,0,0,2,2,0,2,0,0,2,2,0,2,0,0,2,10
陈耀烨,2,4,0,2,4,6,0,0,2,0,0,2,2,0,0,0,4,2,0,2,0,0,2,0,0,0,0,0,0,2,4,0,10
连笑,0,0,0,0,4,4,0,8,0,0,0,0,0,0,8,0,2,0,2,0,0,0,4,2,2,4,2,0,2,4,0,0,13
周睿羊,0,2,2,2,0,0,4,0,0,0,0,0,2,2,2,4,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,16
江维杰,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,0,15
井山裕太,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48
姜东润,2,0,2,0,2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,21
檀啸,0,2,2,0,2,0,2,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,2,0,2,2,2,0,4
李钦诚,0,0,6,0,0,4,4,0,4,4,0,0,0,0,0,4,2,0,2,2,0,0,2,2,2,0,0,4,0,0,0,0,17
唐韦星,2,2,4,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,2,0,18
范廷钰,0,0,0,2,0,0,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,16
朴永训,2,2,2,2,6,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,26
王檄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20
古力,0,2,0,4,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,0,4,0,0,2,0,0,0,0,2,0,2,0,13
崔哲瀚,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,4,27
辜梓豪,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,26
杨鼎新,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,19
黄云嵩,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,2,0,4,4,0,2,0,0,2,0,30
李东勋,2,4,0,0,2,6,0,0,0,0,0,0,2,0,0,0,2,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,29
邱峻,8,0,0,0,0,0,4,0,0,2,2,0,0,0,2,2,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,8
彭立尧,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,13
申真谞,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
范蕴若,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,23
童梦成,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16
罗玄,0,0,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,2,4,0,0,0,2,2,0,0,0,0,16
元晟溱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,13
Others,2,7,4,9,8,3,10,7,4,6,8,7,10,5,7,6,10,8,5,7,11,6,8,10,12,10,7,9,14,12,14,11,0
