,柯洁,朴廷桓,芈昱廷,李世石,时越,连笑,金志锡,井山裕太,柁嘉熹,陈耀烨,申真谞,辜梓豪,周睿羊,檀啸,朴永训,唐韦星,李钦诚,黄云嵩,姜东润,王檄,范廷钰,李东勋,江维杰,杨鼎新,范蕴若,崔哲瀚,谢尔豪,童梦成,彭立尧,古力,李映九,元晟溱,Others
柯洁,0,0,6,12,4,0,2,0,8,6,0,0,6,2,0,4,0,4,0,0,2,4,0,0,2,2,0,2,2,0,0,4,29
朴廷桓,6,0,2,10,2,0,0,0,0,2,2,2,4,0,2,8,0,4,0,0,4,0,2,0,0,0,0,0,0,6,0,0,29
芈昱廷,2,2,0,0,0,4,0,0,0,6,0,2,2,0,0,2,4,0,4,2,0,0,0,4,0,2,4,2,0,0,0,0,21
李世石,4,10,0,0,0,2,2,2,0,2,2,0,0,0,4,2,0,0,6,0,0,0,0,0,0,2,0,2,0,0,0,4,24
时越,2,2,2,0,0,0,2,0,2,2,0,0,2,0,0,6,0,2,6,0,2,2,4,0,0,2,0,0,2,2,0,0,17
连笑,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,24
金志锡,2,0,4,2,2,2,0,0,0,6,0,0,2,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21
井山裕太,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
柁嘉熹,2,0,0,0,2,6,0,0,0,2,0,4,2,2,0,4,2,0,2,2,0,0,2,0,6,0,2,0,0,6,0,0,23
陈耀烨,6,4,2,0,0,0,0,0,2,0,4,0,2,0,2,6,2,4,2,2,0,0,0,0,0,2,0,0,0,2,0,0,17
申真谞,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,37
辜梓豪,0,0,2,0,0,2,4,0,0,2,0,0,0,2,0,2,2,0,0,0,4,0,0,2,0,2,0,0,2,0,0,0,18
周睿羊,0,2,2,0,2,0,0,0,2,2,2,0,0,2,0,2,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,21
檀啸,2,2,0,0,6,0,0,0,4,0,0,4,2,0,0,4,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,10
朴永训,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,22
唐韦星,6,6,2,0,8,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,4,0,2,0,0,17
李钦诚,0,0,0,2,0,0,0,0,0,0,4,2,2,4,0,0,0,0,0,0,4,0,0,2,0,0,0,2,2,0,0,0,26
黄云嵩,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,2,0,2,2,0,0,0,0,2,0,2,0,2,26
姜东润,2,2,0,0,0,0,2,0,0,2,2,0,4,2,4,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,17
王檄,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9
范廷钰,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,22
李东勋,2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,4,0,2,0,0,2,0,35
江维杰,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,13
杨鼎新,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,2,0,0,2,2,0,0,0,0,4,2,0,2,0,0,23
范蕴若,2,2,0,2,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,18
崔哲瀚,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,19
谢尔豪,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,2,0,0,0,4,2,0,0,25
童梦成,0,0,0,0,2,0,0,0,2,0,0,4,0,2,0,2,0,4,0,2,0,0,0,0,2,0,2,0,2,2,0,0,29
彭立尧,0,0,2,0,4,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,12
古力,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,2,0,0,2,0,19
李映九,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,12
元晟溱,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,2,0,14
Others,3,6,1,7,5,7,7,11,6,7,7,9,4,3,11,5,11,6,10,4,7,11,12,9,6,5,7,8,12,8,6,5,0
