Player: 柯洁, Date: 2017-12-26, Rating: 3679, Black and White: 执黑, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2017-12-25, Rating: 3679, Black and White: 执黑, Result: 负, Opponent: 彭立尧
Player: 柯洁, Date: 2017-12-23, Rating: 3680, Black and White: 执白, Result: 负, Opponent: 彭立尧
Player: 柯洁, Date: 2017-12-21, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2017-12-20, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 柯洁, Date: 2017-12-15, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 陈诗渊
Player: 柯洁, Date: 2017-12-15, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2017-12-14, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 江鸣久
Player: 柯洁, Date: 2017-12-14, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 芝野虎丸
Player: 柯洁, Date: 2017-12-13, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 伊利亚什克辛
Player: 柯洁, Date: 2017-12-12, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 王元均
Player: 柯洁, Date: 2017-12-11, Rating: 3680, Black and White: 执黑, Result: 胜, Opponent: 江鸣久
Player: 柯洁, Date: 2017-12-10, Rating: 3680, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 柯洁, Date: 2017-12-02, Rating: 3680, Black and White: 执黑, Result: 负, Opponent: 江维杰
Player: 柯洁, Date: 2017-11-30, Rating: 3680, Black and White: 执白, Result: 负, Opponent: 范蕴若
Player: 柯洁, Date: 2017-11-22, Rating: 3681, Black and White: 执白, Result: 负, Opponent: 时越
Player: 柯洁, Date: 2017-11-15, Rating: 3681, Black and White: 执白, Result: 负, Opponent: 井山裕太
Player: 柯洁, Date: 2017-11-13, Rating: 3681, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 柯洁, Date: 2017-11-10, Rating: 3682, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 柯洁, Date: 2017-11-02, Rating: 3683, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 柯洁, Date: 2017-11-02, Rating: 3683, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 柯洁, Date: 2017-10-30, Rating: 3683, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 柯洁, Date: 2017-10-28, Rating: 3683, Black and White: 执白, Result: 胜, Opponent: 戎毅
Player: 柯洁, Date: 2017-10-26, Rating: 3683, Black and White: 执黑, Result: 负, Opponent: 周睿羊
Player: 柯洁, Date: 2017-10-25, Rating: 3684, Black and White: 执黑, Result: 胜, Opponent: 李世石
