,柯洁,朴廷桓,申真谞,芈昱廷,连笑,时越,金志锡,柁嘉熹,辜梓豪,陈耀烨,李世石,杨鼎新,井山裕太,范廷钰,周睿羊,檀啸,范蕴若,谢尔豪,李钦诚,江维杰,李东勋,唐韦星,王檄,许嘉阳,崔哲瀚,童梦成,朴永训,卞相壹,黄云嵩,罗玄,李映九,姜东润,Others
柯洁,0,8,2,0,2,2,0,2,2,8,2,4,2,4,2,2,2,4,6,4,2,6,0,2,0,0,0,0,2,0,0,2,36
朴廷桓,4,0,0,4,0,0,0,2,4,0,2,0,4,0,2,2,2,0,0,0,2,2,0,0,2,0,6,2,0,2,6,0,31
申真谞,2,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,0,6,0,2,0,2,33
芈昱廷,0,0,2,0,2,4,2,0,2,2,0,0,2,4,4,2,2,0,2,0,0,4,0,4,0,4,0,0,4,0,0,0,21
连笑,0,0,0,8,0,0,0,2,0,4,0,4,0,2,6,2,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2,14
时越,4,2,0,0,0,0,0,2,0,2,0,0,0,2,0,6,0,0,0,2,2,2,0,2,0,0,2,0,0,0,0,0,14
金志锡,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,4,0,4,29
柁嘉熹,2,0,0,6,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,21
辜梓豪,2,2,2,4,2,4,0,0,0,2,2,2,0,0,2,2,2,0,0,2,2,4,2,0,4,4,4,0,0,0,0,0,12
陈耀烨,2,4,0,0,2,0,2,0,0,0,0,4,0,4,0,0,2,0,2,2,0,4,0,0,0,2,0,0,0,0,0,0,19
李世石,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,19
杨鼎新,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,23
井山裕太,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38
范廷钰,2,0,2,2,2,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,12
周睿羊,2,0,2,4,2,2,0,2,0,2,2,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,21
檀啸,4,0,0,2,0,0,0,2,4,0,0,0,0,2,0,0,0,0,2,4,0,4,0,0,0,0,4,0,0,0,0,0,19
范蕴若,2,2,0,0,0,2,2,0,2,2,2,2,2,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,14
谢尔豪,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,2,2,2,0,0,2,0,0,0,22
李钦诚,0,0,0,4,0,0,0,6,2,0,2,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,2,0,0,0,22
江维杰,4,2,0,0,0,4,0,0,2,4,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21
李东勋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,22
唐韦星,2,2,2,0,0,0,0,0,6,0,0,2,0,4,0,4,4,2,0,2,4,0,0,0,2,2,2,0,2,0,0,0,8
王檄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
许嘉阳,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,23
崔哲瀚,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21
童梦成,0,0,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,17
朴永训,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,4,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,14
卞相壹,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,24
黄云嵩,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14
罗玄,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13
李映九,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,13
姜东润,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16
Others,7,3,3,7,12,5,9,10,8,8,8,5,7,9,15,8,6,8,8,7,8,12,0,8,12,12,12,8,11,4,7,12,0
