,朴廷桓,申真谞,柯洁,芈昱廷,辜梓豪,连笑,金志锡,范廷钰,杨鼎新,时越,柁嘉熹,陈耀烨,许嘉阳,谢尔豪,江维杰,范蕴若,井山裕太,李钦诚,谢科,卞相壹,李东勋,檀啸,童梦成,唐韦星,王檄,周睿羊,李世石,申旻埈,丁浩,罗玄,朴永训,廖元赫,Others
朴廷桓,0,10,6,2,4,0,4,2,4,0,0,0,0,0,0,0,2,0,2,4,2,2,0,0,0,0,0,0,0,0,2,2,34
申真谞,2,0,0,0,2,0,2,2,2,4,2,4,0,2,2,6,0,0,0,6,10,0,0,2,0,0,10,8,0,4,0,2,34
柯洁,2,4,0,2,4,4,4,8,0,4,0,4,0,4,2,2,0,2,0,2,0,2,4,6,0,0,2,0,4,0,0,4,14
芈昱廷,2,0,2,0,6,4,0,2,6,8,6,4,0,8,2,4,0,0,0,0,0,4,2,4,0,2,0,0,4,0,0,2,10
辜梓豪,0,2,2,2,0,2,0,4,0,6,4,2,2,0,4,6,2,2,2,0,0,6,2,2,0,0,2,0,0,0,0,2,15
连笑,0,0,2,4,4,0,6,6,4,2,2,6,2,0,2,2,2,2,6,0,2,0,0,0,0,6,2,0,0,0,0,4,19
金志锡,2,4,6,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,2,2,0,0,2,0,0,33
范廷钰,4,0,6,0,0,6,2,0,4,0,4,0,2,0,0,4,2,4,0,0,0,0,0,4,0,0,4,4,2,0,2,4,22
杨鼎新,0,0,2,2,0,2,0,2,0,2,4,2,2,4,0,2,0,0,0,0,0,2,2,2,0,0,0,2,0,4,0,0,21
时越,0,0,0,0,2,0,0,4,0,0,2,2,0,2,4,4,0,2,0,0,0,2,0,0,0,4,2,2,2,0,0,4,22
柁嘉熹,2,0,0,2,2,4,0,0,4,2,0,0,0,0,2,0,0,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,18
陈耀烨,6,8,0,2,4,0,0,4,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,4,0,2,0,0,0,0,0,0,19
许嘉阳,0,0,0,0,0,0,0,2,2,0,4,0,0,2,0,0,0,0,2,4,4,0,2,0,0,0,0,2,2,0,0,0,19
谢尔豪,4,0,6,0,2,0,0,0,0,4,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,15
江维杰,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,2,20
范蕴若,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,2,2,0,2,2,4,0,2,0,2,12
井山裕太,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34
李钦诚,0,0,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17
谢科,0,0,0,0,0,2,0,2,0,4,0,2,2,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,23
卞相壹,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,2,0,28
李东勋,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,25
檀啸,0,0,2,4,2,2,0,4,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,12
童梦成,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26
唐韦星,0,0,2,0,0,2,4,4,2,2,0,0,0,0,0,2,2,2,0,0,2,6,0,0,0,2,0,2,4,0,0,0,13
王檄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
周睿羊,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22
李世石,0,4,4,2,0,2,2,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,23
申旻埈,2,4,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,2,0,0,4,2,0,0,0,6,0,0,4,0,0,23
丁浩,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,7
罗玄,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,22
朴永训,2,0,0,0,2,2,4,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,17
廖元赫,0,0,0,0,4,0,0,0,4,4,0,0,0,2,2,0,0,2,0,0,0,0,4,0,0,0,2,4,2,0,0,0,18
Others,6,5,6,3,1,3,5,1,5,4,7,5,6,3,6,6,19,6,8,11,6,9,7,13,0,9,17,10,7,7,13,5,0
