,申真谞,朴廷桓,柯洁,芈昱廷,辜梓豪,杨鼎新,连笑,范廷钰,谢尔豪,江维杰,许嘉阳,柁嘉熹,范蕴若,陈耀烨,金志锡,丁浩,申旻埈,时越,谢科,李东勋,卞相壹,廖元赫,童梦成,李钦诚,党毅飞,王檄,李轩豪,赵晨宇,一力辽,陶欣然,李维清,彭立尧,Others
申真谞,0,0,2,6,4,2,0,2,2,0,4,2,0,2,8,8,10,2,0,4,6,2,0,0,0,0,0,2,0,0,0,0,39
朴廷桓,10,0,4,2,0,0,0,2,4,0,0,0,2,2,4,0,4,2,0,2,0,2,2,2,4,0,0,0,0,2,2,2,45
柯洁,6,8,0,2,0,8,6,0,2,0,2,4,2,8,2,0,0,4,0,0,0,4,0,0,6,0,2,4,2,0,2,0,25
芈昱廷,2,6,4,0,4,2,2,4,2,0,4,0,0,2,0,0,0,6,2,0,4,4,0,4,0,0,0,0,0,4,4,4,14
辜梓豪,0,2,4,2,0,0,2,2,2,2,0,0,4,2,4,2,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10
杨鼎新,2,2,0,6,4,0,0,2,2,2,2,2,2,6,6,2,2,4,0,2,2,0,2,0,0,0,4,0,2,4,0,0,16
连笑,0,2,2,0,2,2,0,0,0,2,2,0,4,2,2,0,0,4,0,2,0,2,0,0,0,0,0,2,0,2,0,2,12
范廷钰,0,0,4,4,0,0,2,0,2,0,2,6,4,2,0,6,0,0,2,0,0,4,0,0,4,0,0,0,0,2,0,0,16
谢尔豪,0,0,0,0,4,2,2,2,0,0,0,0,0,6,2,2,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,12
江维杰,0,0,2,2,2,4,2,0,0,0,4,0,0,4,0,0,2,8,4,0,2,2,2,2,0,0,0,2,0,2,2,0,16
许嘉阳,0,0,0,2,2,0,4,2,4,4,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,25
柁嘉熹,0,2,2,0,2,4,2,2,0,2,0,0,0,0,0,2,0,2,0,0,0,4,4,2,0,0,0,0,0,0,0,0,16
范蕴若,2,2,0,6,0,0,2,2,0,2,2,0,0,4,2,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,17
陈耀烨,2,0,2,0,2,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,0,4,0,0,2,0,0,2,0,0,0,0,16
金志锡,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,26
丁浩,4,0,4,2,0,0,2,0,0,2,2,0,8,0,2,0,2,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,17
申旻埈,2,6,0,2,0,0,0,0,2,0,0,0,4,2,4,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,34
时越,0,0,2,0,2,6,0,2,4,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,14
谢科,0,0,0,0,4,2,0,0,0,0,2,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,18
李东勋,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,31
卞相壹,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,23
廖元赫,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,4,0,2,6,0,0,2,2,0,0,0,0,0,2,2,15
童梦成,0,0,0,0,4,4,2,2,0,4,0,0,0,0,0,0,2,4,2,0,0,0,0,2,0,0,2,2,0,0,4,2,13
李钦诚,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,15
党毅飞,2,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15
王檄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
李轩豪,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,15
赵晨宇,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,24
一力辽,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45
陶欣然,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,2,2,0,0,0,0,10
李维清,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,0,0,0,2,0,0,17
彭立尧,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,16
Others,2,5,2,5,3,4,4,9,2,5,6,7,4,5,11,3,11,5,7,9,9,7,11,10,5,0,10,5,13,7,6,6,0
