,申真谞,柯洁,朴廷桓,辜梓豪,芈昱廷,杨鼎新,丁浩,范廷钰,江维杰,谢尔豪,连笑,范蕴若,谢科,申旻埈,卞相壹,许嘉阳,柁嘉熹,一力辽,陈耀烨,李东勋,李维清,廖元赫,金志锡,党毅飞,李轩豪,时越,陶欣然,赵晨宇,童梦成,李钦诚,井山裕太,姜东润,Others
申真谞,0,2,30,2,2,0,0,2,2,4,2,2,0,6,8,4,0,0,0,2,2,2,8,2,0,4,0,0,0,0,0,8,34
柯洁,6,0,4,2,4,2,0,2,2,2,4,0,0,2,2,0,4,0,0,2,2,0,4,0,2,0,0,2,4,0,0,2,17
朴廷桓,4,4,0,2,2,4,2,6,0,4,2,0,0,4,2,0,0,2,0,4,2,0,2,0,0,2,0,2,2,2,2,4,19
辜梓豪,2,2,0,0,2,2,2,0,4,4,2,2,4,0,0,0,0,0,4,2,0,2,0,0,2,0,2,0,2,0,2,2,13
芈昱廷,0,0,0,4,0,0,2,0,0,2,2,0,0,2,0,2,2,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,10
杨鼎新,2,2,0,0,4,0,2,2,4,2,6,0,0,2,0,2,0,0,2,2,2,0,0,0,2,2,0,4,0,0,0,0,8
丁浩,0,4,0,0,2,2,0,0,2,4,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,8
范廷钰,0,2,0,2,2,0,2,0,2,2,2,2,2,2,4,0,4,0,0,0,0,4,2,0,2,2,2,2,0,0,0,0,11
江维杰,0,0,2,0,8,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,2,0,4,0,0,12
谢尔豪,0,0,2,0,0,2,0,4,0,0,2,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,10
连笑,0,2,4,0,0,4,0,6,4,0,0,0,2,0,0,2,2,0,2,0,0,2,0,0,4,0,0,4,2,0,0,0,10
范蕴若,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,2
谢科,0,2,0,4,0,4,0,4,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,0,0,0,2,0,2,0,0,11
申旻埈,4,0,2,2,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,2,2,25
卞相壹,0,0,0,0,2,4,0,0,0,0,4,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,4,27
许嘉阳,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,20
柁嘉熹,0,0,0,2,4,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,12
一力辽,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,45
陈耀烨,0,0,0,2,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,10
李东勋,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,4,22
李维清,0,0,0,2,0,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,14
廖元赫,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,13
金志锡,0,0,4,2,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,2,20
党毅飞,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,2,14
李轩豪,0,0,0,2,0,0,0,0,2,2,0,0,0,0,4,0,2,0,4,0,0,0,0,4,0,0,2,2,2,2,0,2,13
时越,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12
陶欣然,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,4,0,0,17
赵晨宇,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14
童梦成,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,2,0,0,0,0,8
李钦诚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,15
井山裕太,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
姜东润,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Others,0,1,2,2,3,4,2,7,2,2,7,1,6,8,8,3,4,6,3,13,4,6,8,8,7,8,2,6,5,5,10,4,0
