,申真谞,柯洁,朴廷桓,丁浩,辜梓豪,卞相壹,芈昱廷,杨鼎新,李轩豪,范廷钰,党毅飞,李维清,李钦诚,王星昊,连笑,井山裕太,许嘉阳,李东勋,赵晨宇,一力辽,柁嘉熹,谢尔豪,杨楷文,谢科,申旻埈,廖元赫,江维杰,时越,许皓鋐,金志锡,姜东润,黄云嵩,Others
申真谞,0,6,8,2,0,12,10,4,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0,0,8,0,0,0,0,4,6,0,44
柯洁,0,0,0,2,2,0,4,2,2,4,0,2,0,0,2,0,2,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,10
朴廷桓,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,2,0,2,0,0,4,2,0,41
丁浩,0,2,2,0,2,0,4,2,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,8
辜梓豪,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,8
卞相壹,0,0,4,2,6,0,0,0,0,0,2,2,0,0,0,0,0,0,4,2,0,0,2,0,2,0,0,2,0,4,2,0,39
芈昱廷,2,4,0,8,8,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0,4,2,2,2,6,0,0,0,0,0,11
杨鼎新,2,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,2,2,0,0,11
李轩豪,2,0,0,2,6,0,2,2,0,8,0,6,0,0,2,0,4,0,0,0,2,2,0,0,2,0,0,0,2,2,0,2,12
范廷钰,0,2,0,4,0,0,4,2,0,0,2,0,0,2,4,0,2,0,0,2,2,2,0,4,2,0,0,0,0,0,2,0,9
党毅飞,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,2,0,2,2,2,0,0,2,2,6
李维清,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,10
李钦诚,0,0,2,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,4,16
王星昊,0,2,0,0,0,2,0,4,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,26
连笑,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,6,2,0,2,2,0,10
井山裕太,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,22
许嘉阳,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,2,6
李东勋,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,9
赵晨宇,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,11
一力辽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40
柁嘉熹,0,0,0,2,2,0,0,4,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,9
谢尔豪,2,0,2,2,2,0,2,4,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,10
杨楷文,0,2,0,4,0,0,0,2,2,0,0,2,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,12
谢科,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,13
申旻埈,6,2,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,6,2,28
廖元赫,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
江维杰,0,0,0,2,0,0,0,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
时越,0,0,0,4,0,0,4,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,4,0,0,2,0,0,0,12
许皓鋐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
金志锡,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,26
姜东润,0,2,8,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,4,0,0,40
黄云嵩,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,10
Others,4,3,7,0,2,13,4,3,2,3,5,1,2,7,5,12,1,4,5,7,2,2,4,3,15,6,1,2,14,16,15,7,0
