Match,Distribution Type,Data Type,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament,NDCG_Spearman Round Robin,NDCG_Spearman Swiss Round,NDCG_Spearman Double Elimination,NDCG_Spearman Weighted Round Robin,NDCG_Spearman Round Robin Knockout,NDCG_Spearman Ladder Tournament
StarCraft,,Real Data,0.7106116310160431,0.3263836898395723,0.36206885026737934,0.909595588235294,0.4058957219251338,0.27139705882352944,0.7691715117538774,0.38120407913460824,0.426340303564988,0.9382200624752072,0.4556668290117297,0.17171979239138405
StarCraft,Uniform,Simulation Data,0.5565212609970674,0.3395271260997067,0.31462609970674493,0.8821187683284454,0.3135043988269795,0.2699780058651025,0.574793592347048,0.4234174254770366,0.335512915704925,0.910344685329075,0.33826885095051645,0.17995362835529313
StarCraft,PL,Simulation Data,0.5158614369501469,0.34960043988269773,0.3582807917888563,0.8886876832844572,0.28343108504398823,0.2518181818181819,0.5369019089120516,0.45372856296514663,0.37685307329659873,0.916367802729843,0.3087597837316306,0.18473855033496378
StarCraft,Normal,Simulation Data,0.6228079178885628,0.3364296187683285,0.3389296187683285,0.89441715542522,0.3363049853372434,0.2589699413489736,0.6599400232657622,0.44215898808159876,0.3586011446597307,0.9226829828826744,0.37339631357576164,0.17408974960611778
StarCraft,MultiGaussian,Simulation Data,0.6833724340175954,0.41951246334310816,0.36205645161290323,0.8922727272727274,0.4121444281524927,0.2804215542521995,0.7537102831067121,0.554712829065658,0.39856978792762987,0.9282596726678218,0.4792336942448796,0.17108152319229167
Tennis,,Real Data,0.659100935828877,0.30950534759358284,0.4104779411764706,0.8945287433155084,0.40668114973262015,0.26226604278074866,0.7469275030921753,0.3874351587595532,0.4809510726138461,0.9309234861689106,0.4733519240098514,0.16324311132471234
Tennis,Uniform,Simulation Data,0.5400623167155425,0.32908357771261004,0.3127749266862169,0.8718035190615836,0.25246334310850455,0.25905058651026397,0.5650036314186148,0.4193367975678198,0.31509812838384826,0.9061443898843856,0.28007069323328776,0.1698019077623226
Tennis,PL,Simulation Data,0.5471554252199414,0.3364442815249267,0.32879398826979456,0.8790542521994138,0.30285923753665683,0.2681781524926685,0.5754240040501838,0.42272990521367687,0.3406770870728492,0.9112638338308277,0.32427852342026237,0.18360247550723804
Tennis,Normal,Simulation Data,0.56824780058651,0.3502309384164222,0.32192815249266865,0.8825366568914954,0.3313049853372433,0.27736803519061587,0.6174718407178346,0.45886090158397363,0.36077930639139366,0.9142500993394583,0.36681458974888415,0.1767725099312375
Tennis,MultiGaussian,Simulation Data,0.6490065982404694,0.39265395894428146,0.36793255131964814,0.8953042521994135,0.3989846041055719,0.2770674486803519,0.7069623694694809,0.5201007303735241,0.40089160003600954,0.9257315969324003,0.4542055472356909,0.16917528099474072
Go,,Real Data,0.6165173796791442,0.27379010695187167,0.3204913101604278,0.8738636363636364,0.3554812834224599,0.28100267379679145,0.7027058483460615,0.31899146615184276,0.3826294473146753,0.9161613077383487,0.4129841609398778,0.17681129038078663
Go,Uniform,Simulation Data,0.4712096774193547,0.2917338709677419,0.3075146627565983,0.8643804985337243,0.2594574780058651,0.25584310850439884,0.49756643729206135,0.37257302788161195,0.3022367856878243,0.8985604941773958,0.2922252332716879,0.17615174740490033
Go,PL,Simulation Data,0.4622507331378302,0.3029948680351906,0.26709677419354844,0.861356304985337,0.23694648093841647,0.2686473607038123,0.48915408569226904,0.38239179040164445,0.26479505196590836,0.8960081716785446,0.26545769665636426,0.17596566225607954
Go,Normal,Simulation Data,0.5270821114369503,0.33923020527859216,0.31870967741935485,0.862991202346041,0.2960263929618768,0.2660923753665689,0.5692661883780574,0.42855329898716177,0.32507127910882516,0.900501905016361,0.3234229251668268,0.17491188332168148
Go,MultiGaussian,Simulation Data,0.6344868035190615,0.3832221407624633,0.34350439882697964,0.8878189149560118,0.35787023460410566,0.2652346041055717,0.6977399611175268,0.4998598085520257,0.3763462527701168,0.9237582788495549,0.3909874065485161,0.18719336554701776
Badminton,,Real Data,0.7484725935828878,0.15814171122994655,0.3976737967914439,0.7571390374331551,0.41520387700534755,0.21258689839572192,0.819198183616747,0.17863886570252596,0.4644833423314534,0.8456812505935261,0.4793050211199303,0.23028756182552393
Badminton,Uniform,Simulation Data,0.6971517595307917,0.4078885630498533,0.4262390029325512,0.9177639296187678,0.44314882697947233,0.2615102639296188,0.7235156819000292,0.5282063791218637,0.462745487136682,0.9365788728251998,0.4889971502508208,0.17067601327169032
Badminton,PL,Simulation Data,0.6942851906158356,0.3851979472140762,0.41729838709677425,0.9194684750733133,0.43406524926686196,0.2680205278592375,0.7118407806575902,0.4975607238389152,0.4417840828402826,0.9393278130275227,0.4587526987478345,0.17144530326238425
Badminton,Normal,Simulation Data,0.7129362170087975,0.40722507331378305,0.4282111436950149,0.9185850439882697,0.4199816715542522,0.26255131964809375,0.7383270210508742,0.5318650936588828,0.4617367163708992,0.9396494322422047,0.4584133626191323,0.18994231784754423
Badminton,MultiGaussian,Simulation Data,0.8165799120234599,0.4612096774193548,0.4739076246334312,0.925854105571847,0.5280205278592378,0.2676942815249267,0.8595008747025698,0.6032272187705316,0.5307608208001902,0.9496650652561884,0.5875116830741708,0.1804279860680339
