Match,Distribution Type,Data Type,Parameter,Spearman Round Robin,Spearman Swiss Round,Spearman Double Elimination,Spearman Weighted Round Robin,Spearman Round Robin Knockout,Spearman Ladder Tournament
StarCraft,,Real Data,1,0.6115975935828877,0.6456885026737968,0.6515875668449198,0.5730113636363635,0.22755681818181822,0.24804478609625663
StarCraft,,Real Data,2,0.41228275401069514,0.3824532085561498,0.3917446524064171,0.3447192513368984,0.2716243315508021,0.08668114973262031
StarCraft,,Real Data,3,0.4888536096256684,0.3403910427807487,0.2793449197860963,0.2815173796791444,0.34759358288770054,0.04717580213903743
StarCraft,,Real Data,4,0.37429812834224596,0.2715073529411765,0.22563502673796793,0.2499498663101604,0.31402072192513364,0.03288770053475937
StarCraft,,Real Data,5,0.4210060160427808,0.36893382352941173,0.13731617647058825,0.3743816844919786,0.35274064171123004,0.0031751336898395545
StarCraft,,Real Data,6,0.4310828877005347,0.33716577540106957,0.183673128342246,0.33813502673796797,0.39184491978609637,0.003308823529411775
StarCraft,,Real Data,7,0.4372660427807487,0.37912767379679135,0.17297794117647064,0.29231283422459897,0.4507687165775402,0.022058823529411763
StarCraft,,Real Data,8,0.4697526737967913,0.3806316844919786,0.2058489304812834,0.44655748663101613,0.44919786096256675,0.00914104278074867
StarCraft,,Real Data,9,0.4572526737967914,0.3643883689839572,0.23145053475935823,0.43282085561497324,0.33419117647058827,0.0189505347593583
StarCraft,,Real Data,10,0.5038602941176471,0.4584391711229946,0.1718081550802139,0.38469251336898397,0.3772058823529412,-0.001620989304812831
StarCraft,,Real Data,11,0.5396891711229947,0.4810995989304813,0.23093248663101607,0.33932152406417104,0.37578542780748664,0.012600267379679158
StarCraft,,Real Data,12,0.49704211229946516,0.5118816844919787,0.16101270053475938,0.4368148395721924,0.4478275401069519,0.003643048128342247
StarCraft,,Real Data,13,0.5543616310160429,0.47279411764705886,0.19253008021390375,0.46931818181818186,0.4199532085561497,0.002406417112299475
StarCraft,,Real Data,14,0.5302974598930481,0.4742647058823529,0.2125167112299465,0.4817012032085561,0.41818181818181827,0.007553475935828885
StarCraft,,Real Data,15,0.5557319518716578,0.5012032085561497,0.17349598930481286,0.4420120320855614,0.4085060160427808,-5.013368983957101e-05
StarCraft,,Real Data,16,0.5952874331550803,0.5464405080213902,0.1845421122994652,0.5013034759358289,0.46737967914438505,-0.021741310160427803
StarCraft,,Real Data,17,0.5735461229946525,0.53125,0.13093248663101606,0.491326871657754,0.41768048128342244,0.022643716577540125
StarCraft,,Real Data,18,0.6392713903743316,0.5669786096256685,0.15706885026737966,0.46094585561497325,0.35509692513368984,0.007687165775401061
StarCraft,,Real Data,19,0.606851604278075,0.6435494652406416,0.17735628342245993,0.43542780748663096,0.4051303475935829,0.035143716577540125
StarCraft,,Real Data,20,0.6485795454545455,0.5462901069518715,0.204528743315508,0.46061163101604274,0.4350935828877005,0.039956550802139036
StarCraft,,Real Data,21,0.6415274064171124,0.5837901069518716,0.18365641711229944,0.4716744652406417,0.39540441176470587,0.011112967914438504
StarCraft,,Real Data,22,0.6654411764705882,0.6240808823529411,0.18175133689839573,0.4499498663101605,0.41024398395721917,0.010344251336898386
StarCraft,,Real Data,23,0.6650233957219251,0.6476771390374332,0.17157419786096256,0.5238302139037432,0.3988636363636363,0.03661430481283423
StarCraft,,Real Data,24,0.7022560160427809,0.6311664438502672,0.21303475935828878,0.4831550802139038,0.42239304812834233,0.02398061497326202
StarCraft,,Real Data,25,0.6670454545454543,0.623178475935829,0.15372660427807489,0.4455882352941177,0.40008355614973257,0.04792780748663103
